#decay	# windows in store	# elements in stream	query	age class	length class	error:p95	latency:p95	ci-width:p95	ci-miss-rate
exponential2	42	313836223	SUM	years	seconds	0.984668	0.000000	2.000000	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	subsecond	seconds	0.136297	0.000500	0.319692	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	subsecond	minutes	0.013692	0.000500	0.037801	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	subsecond	hours	0.001682	0.000500	0.004933	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	subsecond	days	0.000146	0.001000	0.000963	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	subsecond	months	0.000018	0.000000	0.000125	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	subsecond	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	seconds	seconds	0.090332	0.000500	0.943264	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	seconds	minutes	0.013223	0.000500	0.031722	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	seconds	hours	0.001966	0.000500	0.004931	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	seconds	days	0.000125	0.000500	0.000666	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	seconds	months	0.000018	0.001500	0.000125	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	minutes	seconds	0.206853	0.000500	1.105206	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	minutes	minutes	0.022105	0.000500	0.086836	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	minutes	hours	0.001385	0.000500	0.005976	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	minutes	days	0.000109	0.000500	0.000599	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	minutes	months	0.000021	0.000500	0.000126	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	hours	seconds	0.163368	0.000500	1.121464	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	hours	minutes	0.022693	0.000500	0.114526	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	hours	hours	0.002866	0.000500	0.015000	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	hours	days	0.000166	0.000500	0.000709	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	hours	months	0.000018	0.000500	0.000127	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	days	seconds	0.235670	0.000500	1.121776	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	days	minutes	0.022747	0.000500	0.118360	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	days	hours	0.005115	0.000500	0.018353	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	days	days	0.000324	0.000500	0.001715	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	days	months	0.000045	0.001000	0.000152	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	months	seconds	0.120977	0.000500	1.123413	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	months	minutes	0.024306	0.000500	0.118779	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	months	hours	0.006001	0.000500	0.022463	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	months	days	0.000710	0.000500	0.003454	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	months	months	0.000078	0.000000	0.000352	0.000000
rationalPower1,4,1,1	102	313836223	COUNT	years	seconds	0.495025	0.000000	2.000000	0.000000
rationalPower1,4,1,1	102	313836223	SUM	subsecond	seconds	0.127040	0.000500	0.036843	0.000000
rationalPower1,4,1,1	102	313836223	SUM	subsecond	minutes	0.012671	0.000500	0.001755	0.000000
rationalPower1,4,1,1	102	313836223	SUM	subsecond	hours	0.001788	0.000500	0.000110	0.000000
rationalPower1,4,1,1	102	313836223	SUM	subsecond	days	0.000272	0.001000	0.000010	0.000000
rationalPower1,4,1,1	102	313836223	SUM	subsecond	months	0.000020	0.001000	0.000001	0.000000
rationalPower1,4,1,1	102	313836223	SUM	subsecond	years	0.000000	0.001000	0.000000	0.000000
rationalPower1,4,1,1	102	313836223	SUM	seconds	seconds	0.170758	0.000500	0.074772	0.000000
rationalPower1,4,1,1	102	313836223	SUM	seconds	minutes	0.012449	0.000500	0.001299	0.000000
rationalPower1,4,1,1	102	313836223	SUM	seconds	hours	0.001394	0.000500	0.000091	0.000000
rationalPower1,4,1,1	102	313836223	SUM	seconds	days	0.000206	0.000500	0.000007	0.000000
rationalPower1,4,1,1	102	313836223	SUM	seconds	months	0.000020	0.000500	0.000001	0.000000
rationalPower1,4,1,1	102	313836223	SUM	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,1,1	102	313836223	SUM	minutes	seconds	0.273633	0.000500	0.080644	0.000000
rationalPower1,4,1,1	102	313836223	SUM	minutes	minutes	0.022675	0.000500	0.002160	0.000000
rationalPower1,4,1,1	102	313836223	SUM	minutes	hours	0.001341	0.000500	0.000102	0.000000
rationalPower1,4,1,1	102	313836223	SUM	minutes	days	0.000113	0.000500	0.000006	0.000000
rationalPower1,4,1,1	102	313836223	SUM	minutes	months	0.000020	0.000500	0.000001	0.000000
rationalPower1,4,1,1	102	313836223	SUM	hours	seconds	0.225790	0.000500	0.081725	0.000000
rationalPower1,4,1,1	102	313836223	SUM	hours	minutes	0.027231	0.000500	0.002755	0.000000
rationalPower1,4,1,1	102	313836223	SUM	hours	hours	0.004273	0.000500	0.000160	0.000000
rationalPower1,4,1,1	102	313836223	SUM	hours	days	0.000195	0.000500	0.000007	0.000000
rationalPower1,4,1,1	102	313836223	SUM	hours	months	0.000025	0.000500	0.000001	0.000000
rationalPower1,4,1,1	102	313836223	SUM	days	seconds	0.410249	0.000500	0.081790	0.000000
rationalPower1,4,1,1	102	313836223	SUM	days	minutes	0.027739	0.000500	0.002810	0.000000
rationalPower1,4,1,1	102	313836223	SUM	days	hours	0.005160	0.000500	0.000175	0.000000
rationalPower1,4,1,1	102	313836223	SUM	days	days	0.000356	0.000500	0.000011	0.000000
rationalPower1,4,1,1	102	313836223	SUM	days	months	0.000047	0.000500	0.000001	0.000000
rationalPower1,4,1,1	102	313836223	SUM	months	seconds	0.237932	0.000500	0.109821	0.000000
rationalPower1,4,1,1	102	313836223	SUM	months	minutes	0.035203	0.000500	0.002818	0.000000
rationalPower1,4,1,1	102	313836223	SUM	months	hours	0.006858	0.000500	0.000236	0.000000
rationalPower1,4,1,1	102	313836223	SUM	months	days	0.000829	0.000500	0.000015	0.000000
rationalPower1,4,1,1	102	313836223	SUM	months	months	0.000082	0.000500	0.000001	0.000000
rationalPower1,4,1,1	102	313836223	SUM	years	seconds	0.984670	0.000000	2.000000	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	subsecond	seconds	0.097980	0.000500	0.353139	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	subsecond	minutes	0.009260	0.001000	0.030177	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	subsecond	hours	0.000745	0.000500	0.003832	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	subsecond	days	0.000136	0.001000	0.000758	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	subsecond	months	0.000014	0.000000	0.000065	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	subsecond	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	seconds	seconds	0.088020	0.000500	0.890844	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	seconds	minutes	0.009128	0.000500	0.026398	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	seconds	hours	0.000710	0.000500	0.002238	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	seconds	days	0.000088	0.000500	0.000644	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	seconds	months	0.000014	0.000500	0.000065	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	seconds	years	0.000000	0.001000	0.000000	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	minutes	seconds	0.190096	0.000500	1.094337	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	minutes	minutes	0.019876	0.000500	0.082382	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	minutes	hours	0.000824	0.000500	0.004299	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	minutes	days	0.000084	0.000500	0.000637	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	minutes	months	0.000019	0.000500	0.000069	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	hours	seconds	0.162512	0.000500	1.120461	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	hours	minutes	0.021439	0.000500	0.110322	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	hours	hours	0.001790	0.000500	0.010748	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	hours	days	0.000147	0.000500	0.000595	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	hours	months	0.000024	0.000500	0.000075	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	days	seconds	0.236530	0.000500	1.121847	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	days	minutes	0.022823	0.000500	0.118226	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	days	hours	0.004906	0.000500	0.018101	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	days	days	0.000309	0.000500	0.001328	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	days	months	0.000029	0.000500	0.000133	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	months	seconds	0.120964	0.000500	1.123595	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	months	minutes	0.024366	0.000500	0.118774	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	months	hours	0.006115	0.000500	0.018643	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	months	days	0.000568	0.000500	0.003322	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	months	months	0.000079	0.000500	0.000300	0.000000
rationalPower1,4,2,1	175	313836223	COUNT	years	seconds	0.495026	0.000000	2.000000	0.000000
rationalPower1,4,2,1	175	313836223	SUM	subsecond	seconds	0.121589	0.001000	0.037860	0.000000
rationalPower1,4,2,1	175	313836223	SUM	subsecond	minutes	0.010723	0.000500	0.001504	0.000000
rationalPower1,4,2,1	175	313836223	SUM	subsecond	hours	0.000771	0.000000	0.000094	0.000000
rationalPower1,4,2,1	175	313836223	SUM	subsecond	days	0.000153	0.000500	0.000009	0.000000
rationalPower1,4,2,1	175	313836223	SUM	subsecond	months	0.000019	0.001000	0.000001	0.000000
rationalPower1,4,2,1	175	313836223	SUM	subsecond	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,2,1	175	313836223	SUM	seconds	seconds	0.149758	0.000500	0.069386	0.000000
rationalPower1,4,2,1	175	313836223	SUM	seconds	minutes	0.010698	0.000500	0.001191	0.000000
rationalPower1,4,2,1	175	313836223	SUM	seconds	hours	0.000807	0.000500	0.000052	0.000000
rationalPower1,4,2,1	175	313836223	SUM	seconds	days	0.000149	0.000500	0.000007	0.000000
rationalPower1,4,2,1	175	313836223	SUM	seconds	months	0.000018	0.000500	0.000001	0.000000
rationalPower1,4,2,1	175	313836223	SUM	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,2,1	175	313836223	SUM	minutes	seconds	0.269753	0.000500	0.080844	0.000000
rationalPower1,4,2,1	175	313836223	SUM	minutes	minutes	0.019457	0.000500	0.002087	0.000000
rationalPower1,4,2,1	175	313836223	SUM	minutes	hours	0.000928	0.000500	0.000085	0.000000
rationalPower1,4,2,1	175	313836223	SUM	minutes	days	0.000109	0.000500	0.000007	0.000000
