#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:p95	ci-width:p95	ci-miss-rate
rationalPower1,4,1,1	107	313814094	BF	months	hours	0.000000	0.000500	0.996199	0.000000
rationalPower1,4,1,1	107	313814094	BF	months	days	0.000000	0.000500	0.864132	0.000000
rationalPower1,4,1,1	107	313814094	BF	months	months	0.000000	0.000500	0.333091	0.000000
rationalPower1,4,1,1	107	313814094	BF	years	seconds	1.000000	0.001000	1.000000	0.000000
rationalPower1,4,2,1	174	313814094	BF	subsecond	seconds	0.033898	0.000500	0.438177	0.000000
rationalPower1,4,2,1	174	313814094	BF	subsecond	minutes	0.000000	0.000000	0.216325	0.000000
rationalPower1,4,2,1	174	313814094	BF	subsecond	hours	0.000000	0.000500	0.134957	0.000000
rationalPower1,4,2,1	174	313814094	BF	subsecond	days	0.000000	0.000500	0.069392	0.000000
rationalPower1,4,2,1	174	313814094	BF	subsecond	months	0.000000	0.000000	0.039285	0.000000
rationalPower1,4,2,1	174	313814094	BF	subsecond	years	0.000000	0.001000	0.010000	0.000000
rationalPower1,4,2,1	174	313814094	BF	seconds	seconds	0.137604	0.000496	0.858817	0.000000
rationalPower1,4,2,1	174	313814094	BF	seconds	minutes	0.000287	0.000496	0.247498	0.000000
rationalPower1,4,2,1	174	313814094	BF	seconds	hours	0.000000	0.000500	0.149399	0.000000
rationalPower1,4,2,1	174	313814094	BF	seconds	days	0.000000	0.000500	0.069324	0.000000
rationalPower1,4,2,1	174	313814094	BF	seconds	months	0.000000	0.000500	0.039282	0.000000
rationalPower1,4,2,1	174	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,2,1	174	313814094	BF	minutes	seconds	0.173226	0.000496	0.992349	0.000000
rationalPower1,4,2,1	174	313814094	BF	minutes	minutes	0.000000	0.000496	0.641198	0.000000
rationalPower1,4,2,1	174	313814094	BF	minutes	hours	0.000000	0.000500	0.143711	0.000000
rationalPower1,4,2,1	174	313814094	BF	minutes	days	0.000000	0.000500	0.065890	0.000000
rationalPower1,4,2,1	174	313814094	BF	minutes	months	0.000000	0.000496	0.038976	0.000000
rationalPower1,4,2,1	174	313814094	BF	hours	seconds	0.179808	0.000496	0.999526	0.000000
rationalPower1,4,2,1	174	313814094	BF	hours	minutes	0.000000	0.000496	0.962720	0.000000
rationalPower1,4,2,1	174	313814094	BF	hours	hours	0.000000	0.000500	0.486185	0.000000
rationalPower1,4,2,1	174	313814094	BF	hours	days	0.000000	0.000500	0.089005	0.000000
rationalPower1,4,2,1	174	313814094	BF	hours	months	0.000000	0.000500	0.036556	0.000000
rationalPower1,4,2,1	174	313814094	BF	days	seconds	0.171245	0.000496	0.999963	0.000000
rationalPower1,4,2,1	174	313814094	BF	days	minutes	0.000000	0.000496	0.996950	0.000000
rationalPower1,4,2,1	174	313814094	BF	days	hours	0.000000	0.000496	0.926856	0.000000
rationalPower1,4,2,1	174	313814094	BF	days	days	0.000000	0.000500	0.304383	0.000000
rationalPower1,4,2,1	174	313814094	BF	days	months	0.000000	0.000500	0.067568	0.000000
rationalPower1,4,2,1	174	313814094	BF	months	seconds	0.177196	0.000500	0.999995	0.000000
rationalPower1,4,2,1	174	313814094	BF	months	minutes	0.000000	0.000500	0.999637	0.000000
rationalPower1,4,2,1	174	313814094	BF	months	hours	0.000000	0.000500	0.992706	0.000000
rationalPower1,4,2,1	174	313814094	BF	months	days	0.000000	0.000500	0.768039	0.000000
rationalPower1,4,2,1	174	313814094	BF	months	months	0.000000	0.001000	0.218331	0.000000
rationalPower1,4,2,1	174	313814094	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,4,4,1	302	313814094	BF	subsecond	seconds	0.067797	0.000000	0.408832	0.000000
rationalPower1,4,4,1	302	313814094	BF	subsecond	minutes	0.000000	0.000000	0.158704	0.000000
rationalPower1,4,4,1	302	313814094	BF	subsecond	hours	0.000000	0.000500	0.072682	0.000000
rationalPower1,4,4,1	302	313814094	BF	subsecond	days	0.000000	0.001500	0.061085	0.000000
rationalPower1,4,4,1	302	313814094	BF	subsecond	months	0.000000	0.000000	0.036018	0.000000
rationalPower1,4,4,1	302	313814094	BF	subsecond	years	0.000000	0.001000	0.010000	0.000000
rationalPower1,4,4,1	302	313814094	BF	seconds	seconds	0.114335	0.000500	0.740971	0.000000
rationalPower1,4,4,1	302	313814094	BF	seconds	minutes	0.000287	0.000500	0.156655	0.000000
rationalPower1,4,4,1	302	313814094	BF	seconds	hours	0.000000	0.000500	0.070851	0.000000
rationalPower1,4,4,1	302	313814094	BF	seconds	days	0.000000	0.000500	0.047028	0.000000
rationalPower1,4,4,1	302	313814094	BF	seconds	months	0.000000	0.000500	0.036008	0.000000
rationalPower1,4,4,1	302	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,4,1	302	313814094	BF	minutes	seconds	0.173513	0.000500	0.989747	0.000000
rationalPower1,4,4,1	302	313814094	BF	minutes	minutes	0.000000	0.000500	0.540387	0.000000
rationalPower1,4,4,1	302	313814094	BF	minutes	hours	0.000000	0.000500	0.087271	0.000000
rationalPower1,4,4,1	302	313814094	BF	minutes	days	0.000000	0.000500	0.046610	0.000000
rationalPower1,4,4,1	302	313814094	BF	minutes	months	0.000000	0.000500	0.035404	0.000000
rationalPower1,4,4,1	302	313814094	BF	hours	seconds	0.179808	0.000500	0.999114	0.000000
rationalPower1,4,4,1	302	313814094	BF	hours	minutes	0.000000	0.000500	0.923729	0.000000
rationalPower1,4,4,1	302	313814094	BF	hours	hours	0.000000	0.000500	0.380203	0.000000
rationalPower1,4,4,1	302	313814094	BF	hours	days	0.000000	0.000500	0.053770	0.000000
