#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:mean	ci-width:mean	ci-miss-rate
exponential2	43	313814094	SUM	years	seconds	0.984669	0.000000	2.000000	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	seconds	0.023825	0.000017	0.110802	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	minutes	0.001679	0.000068	0.008951	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	hours	0.000277	0.000087	0.001225	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	days	0.000040	0.000000	0.000176	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	months	0.000007	0.000091	0.000038	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	seconds	0.051314	0.000020	0.221117	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	minutes	0.001776	0.000025	0.009877	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	hours	0.000273	0.000032	0.001247	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	days	0.000041	0.000039	0.000176	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	months	0.000007	0.000037	0.000038	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	minutes	seconds	0.061017	0.000023	0.314344	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	minutes	minutes	0.003332	0.000017	0.019578	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	minutes	hours	0.000314	0.000033	0.001483	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	minutes	days	0.000037	0.000030	0.000165	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	minutes	months	0.000006	0.000028	0.000039	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	hours	seconds	0.066169	0.000010	0.322869	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	hours	minutes	0.006000	0.000013	0.033171	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	hours	hours	0.000610	0.000036	0.002800	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	hours	days	0.000044	0.000027	0.000200	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	hours	months	0.000005	0.000047	0.000040	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	days	seconds	0.057099	0.000025	0.323810	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	days	minutes	0.008592	0.000026	0.037498	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	days	hours	0.001381	0.000024	0.006052	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	days	days	0.000091	0.000004	0.000396	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	days	months	0.000009	0.000025	0.000044	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	months	seconds	0.045716	0.000015	0.323824	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	months	minutes	0.007332	0.000023	0.037797	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	months	hours	0.001584	0.000024	0.007166	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	months	days	0.000131	0.000028	0.000813	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	months	months	0.000012	0.000015	0.000094	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	years	seconds	0.495025	0.000000	2.000000	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	seconds	0.025877	0.000017	0.009529	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	minutes	0.002090	0.000034	0.000330	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	hours	0.000335	0.000000	0.000023	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	days	0.000040	0.000034	0.000002	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	months	0.000005	0.000000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	years	0.000000	0.001000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	seconds	0.066008	0.000022	0.045979	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	minutes	0.002024	0.000023	0.000352	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	hours	0.000325	0.000027	0.000023	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	days	0.000040	0.000040	0.000002	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	months	0.000005	0.000028	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	SUM	minutes	seconds	0.077748	0.000020	0.048279	0.000000
