#decay	# windows in store	# elements in stream	query	age class	length class	error:p95	latency:p95	ci-width:p95	ci-miss-rate
exponential2	42	313857670	COUNT	subsecond	seconds	0.064822	0.000000	0.399441	0.000000
exponential2	42	313857670	COUNT	subsecond	minutes	0.009462	0.000500	0.056963	0.000000
exponential2	42	313857670	COUNT	subsecond	hours	0.001622	0.067492	0.009452	0.000000
exponential2	42	313857670	COUNT	subsecond	days	0.000477	0.005000	0.001601	0.000000
exponential2	42	313857670	COUNT	subsecond	months	0.000048	0.026999	0.000385	0.000000
exponential2	42	313857670	COUNT	subsecond	years	0.000000	0.051000	0.000000	0.000000
exponential2	42	313857670	COUNT	seconds	seconds	0.101900	0.000500	1.238830	0.000000
exponential2	42	313857670	COUNT	seconds	minutes	0.009740	0.000493	0.041760	0.000000
exponential2	42	313857670	COUNT	seconds	hours	0.001574	0.000499	0.008594	0.000000
exponential2	42	313857670	COUNT	seconds	days	0.000288	0.000499	0.001190	0.000000
exponential2	42	313857670	COUNT	seconds	months	0.000047	0.002496	0.000385	0.000000
exponential2	42	313857670	COUNT	seconds	years	0.000000	0.000000	0.000000	0.000000
exponential2	42	313857670	COUNT	minutes	seconds	0.225027	0.000498	1.571689	0.000000
exponential2	42	313857670	COUNT	minutes	minutes	0.033756	0.000500	0.140133	0.000000
exponential2	42	313857670	COUNT	minutes	hours	0.002521	0.000500	0.012939	0.000000
exponential2	42	313857670	COUNT	minutes	days	0.000326	0.000496	0.001243	0.000000
exponential2	42	313857670	COUNT	minutes	months	0.000046	0.001496	0.000384	0.000000
exponential2	42	313857670	COUNT	hours	seconds	0.235456	0.000493	1.621757	0.000000
exponential2	42	313857670	COUNT	hours	minutes	0.036879	0.000499	0.168997	0.000000
exponential2	42	313857670	COUNT	hours	hours	0.004036	0.000500	0.023657	0.000000
exponential2	42	313857670	COUNT	hours	days	0.000622	0.004498	0.002090	0.000000
exponential2	42	313857670	COUNT	hours	months	0.000078	0.007992	0.000373	0.000000
exponential2	42	313857670	COUNT	days	seconds	0.158292	0.000500	1.621016	0.000000
exponential2	42	313857670	COUNT	days	minutes	0.041016	0.002495	0.171284	0.000000
exponential2	42	313857670	COUNT	days	hours	0.007758	0.001492	0.031971	0.000000
exponential2	42	313857670	COUNT	days	days	0.001301	0.001999	0.004922	0.000000
exponential2	42	313857670	COUNT	days	months	0.000199	0.006497	0.000546	0.000000
