#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:mean	ci-width:mean	ci-miss-rate
rationalPower1,4,1,1	107	313814094	BF	months	hours	0.000000	0.000032	0.928672	0.000000
rationalPower1,4,1,1	107	313814094	BF	months	days	0.000000	0.000044	0.399658	0.000000
rationalPower1,4,1,1	107	313814094	BF	months	months	0.000000	0.000045	0.116453	0.000000
rationalPower1,4,1,1	107	313814094	BF	years	seconds	1.000000	0.001000	1.000000	0.000000
rationalPower1,4,2,1	174	313814094	BF	subsecond	seconds	0.033898	0.000017	0.193123	0.000000
rationalPower1,4,2,1	174	313814094	BF	subsecond	minutes	0.000000	0.000000	0.105109	0.000000
rationalPower1,4,2,1	174	313814094	BF	subsecond	hours	0.000000	0.000043	0.061141	0.000000
rationalPower1,4,2,1	174	313814094	BF	subsecond	days	0.000000	0.000034	0.037615	0.000000
rationalPower1,4,2,1	174	313814094	BF	subsecond	months	0.000000	0.000000	0.023420	0.000000
rationalPower1,4,2,1	174	313814094	BF	subsecond	years	0.000000	0.001000	0.010000	0.000000
rationalPower1,4,2,1	174	313814094	BF	seconds	seconds	0.137604	0.000167	0.438078	0.000000
rationalPower1,4,2,1	174	313814094	BF	seconds	minutes	0.000287	0.000080	0.115118	0.000000
rationalPower1,4,2,1	174	313814094	BF	seconds	hours	0.000000	0.000015	0.064677	0.000000
rationalPower1,4,2,1	174	313814094	BF	seconds	days	0.000000	0.000026	0.037582	0.000000
rationalPower1,4,2,1	174	313814094	BF	seconds	months	0.000000	0.000043	0.023418	0.000000
rationalPower1,4,2,1	174	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,2,1	174	313814094	BF	minutes	seconds	0.173226	0.000213	0.888234	0.000000
rationalPower1,4,2,1	174	313814094	BF	minutes	minutes	0.000000	0.000170	0.255323	0.000000
rationalPower1,4,2,1	174	313814094	BF	minutes	hours	0.000000	0.000018	0.076634	0.000000
rationalPower1,4,2,1	174	313814094	BF	minutes	days	0.000000	0.000018	0.037422	0.000000
rationalPower1,4,2,1	174	313814094	BF	minutes	months	0.000000	0.000288	0.023253	0.000000
rationalPower1,4,2,1	174	313814094	BF	hours	seconds	0.179808	0.000162	0.989732	0.000000
rationalPower1,4,2,1	174	313814094	BF	hours	minutes	0.000000	0.000273	0.693870	0.000000
rationalPower1,4,2,1	174	313814094	BF	hours	hours	0.000000	0.000021	0.188103	0.000000
rationalPower1,4,2,1	174	313814094	BF	hours	days	0.000000	0.000013	0.043297	0.000000
rationalPower1,4,2,1	174	313814094	BF	hours	months	0.000000	0.000028	0.021231	0.000000
rationalPower1,4,2,1	174	313814094	BF	days	seconds	0.171245	0.000132	0.999349	0.000000
rationalPower1,4,2,1	174	313814094	BF	days	minutes	0.000000	0.000123	0.960703	0.000000
rationalPower1,4,2,1	174	313814094	BF	days	hours	0.000000	0.000292	0.591073	0.000000
