#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:mean	ci-width:mean	ci-miss-rate
rationalPower1,4,16,1	889	313814094	CMS	minutes	days	0.000120	0.000105	0.000591	0.000000
rationalPower1,4,16,1	889	313814094	CMS	minutes	months	0.000026	0.000267	0.000131	0.000000
rationalPower1,4,16,1	889	313814094	CMS	hours	seconds	0.407101	0.000044	1.894657	0.000000
rationalPower1,4,16,1	889	313814094	CMS	hours	minutes	0.043022	0.000007	0.208973	0.000000
rationalPower1,4,16,1	889	313814094	CMS	hours	hours	0.002073	0.000062	0.009941	0.000000
rationalPower1,4,16,1	889	313814094	CMS	hours	days	0.000134	0.000103	0.000665	0.000000
rationalPower1,4,16,1	889	313814094	CMS	hours	months	0.000027	0.000300	0.000126	0.000000
rationalPower1,4,16,1	889	313814094	CMS	days	seconds	0.456625	0.000016	1.924893	0.000000
rationalPower1,4,16,1	889	313814094	CMS	days	minutes	0.072678	0.000051	0.352262	0.000000
rationalPower1,4,16,1	889	313814094	CMS	days	hours	0.006917	0.000003	0.032941	0.000000
rationalPower1,4,16,1	889	313814094	CMS	days	days	0.000278	0.000065	0.001402	0.000000
rationalPower1,4,16,1	889	313814094	CMS	days	months	0.000027	0.000201	0.000149	0.000000
rationalPower1,4,16,1	889	313814094	CMS	months	seconds	0.440426	0.000023	1.926840	0.000000
rationalPower1,4,16,1	889	313814094	CMS	months	minutes	0.076455	0.000005	0.375002	0.000000
rationalPower1,4,16,1	889	313814094	CMS	months	hours	0.011552	0.000016	0.058370	0.000000
rationalPower1,4,16,1	889	313814094	CMS	months	days	0.000685	0.000025	0.003416	0.000000
rationalPower1,4,16,1	889	313814094	CMS	months	months	0.000077	0.000121	0.000351	0.000000
rationalPower1,4,16,1	889	313814094	CMS	years	seconds	0.000099	0.000000	2.000000	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	subsecond	seconds	0.030285	0.000017	0.145645	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	subsecond	minutes	0.005872	0.000017	0.033623	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	subsecond	hours	0.000921	0.000130	0.004660	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	subsecond	days	0.000106	0.000207	0.000504	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	subsecond	months	0.000026	0.000364	0.000094	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	subsecond	years	0.000000	0.001000	0.000000	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	seconds	seconds	0.104174	0.000003	0.683004	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	seconds	minutes	0.008555	0.000017	0.037863	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	seconds	hours	0.000958	0.000141	0.004709	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	seconds	days	0.000105	0.000269	0.000503	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	seconds	months	0.000019	0.000809	0.000094	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	seconds	years	0.000000	0.001000	0.000000	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	minutes	seconds	0.343443	0.000002	1.679293	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	minutes	minutes	0.018564	0.000007	0.092771	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	minutes	hours	0.001112	0.000042	0.005312	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	minutes	days	0.000100	0.000220	0.000496	0.000000
rationalPower1,2,1,1	1428	313814094	CMS	minutes	months	0.000021	0.000606	0.000095	0.000000
