#decay	# windows in store	# elements in stream	query	age class	length class	error:p95	latency:p95	ci-width:p95	ci-miss-rate
rationalPower1,4,1,1	107	313814094	CMS	months	seconds	8.411100	0.000500	1.999933	0.000000
rationalPower1,4,1,1	107	313814094	CMS	months	minutes	5.372381	0.000500	0.413112	0.000000
rationalPower1,4,1,1	107	313814094	CMS	months	hours	5.058581	0.000500	0.083532	0.000000
rationalPower1,4,1,1	107	313814094	CMS	months	days	5.010579	0.000500	0.013437	0.000000
rationalPower1,4,1,1	107	313814094	CMS	months	months	5.001994	0.000000	0.001497	0.000000
rationalPower1,4,1,1	107	313814094	CMS	years	seconds	0.000595	0.000000	2.000000	0.000000
rationalPower1,4,2,1	174	313814094	CMS	subsecond	seconds	5.050779	0.003000	1.889700	0.000000
rationalPower1,4,2,1	174	313814094	CMS	subsecond	minutes	5.815812	0.000500	0.104068	0.000000
rationalPower1,4,2,1	174	313814094	CMS	subsecond	hours	5.053327	0.001000	0.014481	0.000000
rationalPower1,4,2,1	174	313814094	CMS	subsecond	days	4.999344	0.001000	0.002514	0.000000
rationalPower1,4,2,1	174	313814094	CMS	subsecond	months	5.000525	0.000000	0.000335	0.000000
rationalPower1,4,2,1	174	313814094	CMS	subsecond	years	3.994200	0.001000	0.000000	0.000000
rationalPower1,4,2,1	174	313814094	CMS	seconds	seconds	6.341592	0.000500	1.999900	0.000000
rationalPower1,4,2,1	174	313814094	CMS	seconds	minutes	5.149129	0.000500	0.106656	0.000000
rationalPower1,4,2,1	174	313814094	CMS	seconds	hours	5.008989	0.000500	0.012771	0.000000
rationalPower1,4,2,1	174	313814094	CMS	seconds	days	4.996854	0.000500	0.002178	0.000000
rationalPower1,4,2,1	174	313814094	CMS	seconds	months	5.000682	0.005500	0.000250	0.000000
rationalPower1,4,2,1	174	313814094	CMS	seconds	years	4.993265	0.001000	0.000000	0.000000
rationalPower1,4,2,1	174	313814094	CMS	minutes	seconds	7.728671	0.000500	1.999903	0.000000
