#decay	# windows in store	# elements in stream	query	age class	length class	error:p95	latency:p95	ci-width:p95	ci-miss-rate
exponential2	43	313814094	CMS	subsecond	seconds	4.584196	0.006500	0.773954	0.000000
exponential2	43	313814094	CMS	subsecond	minutes	5.075719	0.029996	0.187099	0.000000
exponential2	43	313814094	CMS	subsecond	hours	4.959190	0.063492	0.046870	0.000000
exponential2	43	313814094	CMS	subsecond	days	4.012590	0.014498	0.006487	0.000000
exponential2	43	313814094	CMS	subsecond	months	4.993941	0.005000	0.001460	0.000000
exponential2	43	313814094	CMS	subsecond	years	2.000045	0.082000	0.000000	0.000000
exponential2	43	313814094	CMS	seconds	seconds	4.889591	0.001500	1.999900	0.000000
exponential2	43	313814094	CMS	seconds	minutes	4.741663	0.001500	0.157399	0.000000
exponential2	43	313814094	CMS	seconds	hours	4.899187	0.002491	0.030497	0.000000
exponential2	43	313814094	CMS	seconds	days	4.979550	0.001499	0.005015	0.000000
exponential2	43	313814094	CMS	seconds	months	4.988550	0.002494	0.001193	0.000000
exponential2	43	313814094	CMS	seconds	years	4.994766	0.000000	0.000000	0.000000
exponential2	43	313814094	CMS	minutes	seconds	6.370050	0.001499	1.999918	0.000000
exponential2	43	313814094	CMS	minutes	minutes	4.812275	0.001492	0.422775	0.000000
exponential2	43	313814094	CMS	minutes	hours	4.946339	0.002493	0.032469	0.000000
exponential2	43	313814094	CMS	minutes	days	4.975477	0.002495	0.005654	0.000000
exponential2	43	313814094	CMS	minutes	months	4.995978	0.005492	0.001194	0.000000
exponential2	43	313814094	CMS	hours	seconds	6.099146	0.003494	1.999933	0.000000
exponential2	43	313814094	CMS	hours	minutes	4.875922	0.001499	0.507741	0.000000
exponential2	43	313814094	CMS	hours	hours	4.958717	0.002500	0.086102	0.000000
exponential2	43	313814094	CMS	hours	days	4.986085	0.003491	0.005790	0.000000
exponential2	43	313814094	CMS	hours	months	4.994409	0.004490	0.001136	0.000000
exponential2	43	313814094	CMS	days	seconds	6.690049	0.001492	1.999933	0.000000
exponential2	43	313814094	CMS	days	minutes	4.986511	0.001492	0.505256	0.000000
exponential2	43	313814094	CMS	days	hours	4.937461	0.001500	0.101567	0.000000
exponential2	43	313814094	CMS	days	days	4.991889	0.002493	0.015302	0.000000
exponential2	43	313814094	CMS	days	months	4.997846	0.004496	0.001524	0.000000
exponential2	43	313814094	CMS	months	seconds	6.614630	0.002494	1.999933	0.000000
exponential2	43	313814094	CMS	months	minutes	4.728682	0.001500	0.532860	0.000000
exponential2	43	313814094	CMS	months	hours	5.009035	0.004493	0.097464	0.000000
exponential2	43	313814094	CMS	months	days	4.993153	0.000500	0.020541	0.000000
exponential2	43	313814094	CMS	months	months	4.998152	0.003500	0.003732	0.000000
exponential2	43	313814094	CMS	years	seconds	0.000497	0.000000	2.000000	0.000000
rationalPower1,4,1,1	107	313814094	CMS	subsecond	seconds	5.456545	0.000500	1.795500	0.000000
rationalPower1,4,1,1	107	313814094	CMS	subsecond	minutes	5.127015	0.000500	0.173537	0.000000
rationalPower1,4,1,1	107	313814094	CMS	subsecond	hours	4.924543	0.000500	0.025745	0.000000
rationalPower1,4,1,1	107	313814094	CMS	subsecond	days	4.012873	0.001000	0.003266	0.000000
rationalPower1,4,1,1	107	313814094	CMS	subsecond	months	4.989790	0.001000	0.000691	0.000000
rationalPower1,4,1,1	107	313814094	CMS	subsecond	years	2.000045	0.002000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	CMS	seconds	seconds	4.876289	0.000500	1.999900	0.000000
rationalPower1,4,1,1	107	313814094	CMS	seconds	minutes	4.739196	0.000500	0.156423	0.000000
rationalPower1,4,1,1	107	313814094	CMS	seconds	hours	4.864150	0.000500	0.016127	0.000000
rationalPower1,4,1,1	107	313814094	CMS	seconds	days	4.964447	0.000500	0.002545	0.000000
rationalPower1,4,1,1	107	313814094	CMS	seconds	months	4.982407	0.001500	0.000532	0.000000
rationalPower1,4,1,1	107	313814094	CMS	seconds	years	4.989339	0.000000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	CMS	minutes	seconds	6.338511	0.000500	1.999911	0.000000
rationalPower1,4,1,1	107	313814094	CMS	minutes	minutes	4.765534	0.000500	0.402398	0.000000
