#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:p95	ci-width:p95	ci-miss-rate
exponential2	42	313836223	BF	subsecond	seconds	0.016949	0.026496	0.328088	0.000000
exponential2	42	313836223	BF	subsecond	minutes	0.000000	0.031497	0.466387	0.000000
exponential2	42	313836223	BF	subsecond	hours	0.000000	0.050995	0.414348	0.000000
exponential2	42	313836223	BF	subsecond	days	0.000000	0.049996	0.393318	0.000000
exponential2	42	313836223	BF	subsecond	months	0.000000	0.009000	0.430391	0.000000
exponential2	42	313836223	BF	subsecond	years	0.000000	0.058000	0.010000	0.000000
exponential2	42	313836223	BF	seconds	seconds	0.108877	0.001493	0.789420	0.000000
exponential2	42	313836223	BF	seconds	minutes	0.000287	0.001495	0.462601	0.000000
exponential2	42	313836223	BF	seconds	hours	0.000000	0.001496	0.383476	0.000000
exponential2	42	313836223	BF	seconds	days	0.000000	0.001496	0.375478	0.000000
exponential2	42	313836223	BF	seconds	months	0.000000	0.002483	0.430391	0.000000
exponential2	42	313836223	BF	seconds	years	0.000000	0.055000	0.010000	0.000000
exponential2	42	313836223	BF	minutes	seconds	0.176961	0.001499	0.997899	0.000000
exponential2	42	313836223	BF	minutes	minutes	0.000000	0.001492	0.857492	0.000000
exponential2	42	313836223	BF	minutes	hours	0.000000	0.001496	0.438223	0.000000
exponential2	42	313836223	BF	minutes	days	0.000000	0.001492	0.379304	0.000000
exponential2	42	313836223	BF	minutes	months	0.000000	0.001496	0.430390	0.000000
exponential2	42	313836223	BF	hours	seconds	0.182019	0.001493	0.999904	0.000000
exponential2	42	313836223	BF	hours	minutes	0.000737	0.001495	0.991005	0.000000
exponential2	42	313836223	BF	hours	hours	0.000000	0.001500	0.820006	0.000000
exponential2	42	313836223	BF	hours	days	0.000000	0.001499	0.403780	0.000000
exponential2	42	313836223	BF	hours	months	0.000000	0.002984	0.429941	0.000000
exponential2	42	313836223	BF	days	seconds	0.192870	0.001499	0.999996	0.000000
exponential2	42	313836223	BF	days	minutes	0.000000	0.001492	0.999682	0.000000
exponential2	42	313836223	BF	days	hours	0.000000	0.001499	0.991497	0.000000
exponential2	42	313836223	BF	days	days	0.000000	0.001496	0.797036	0.000000
exponential2	42	313836223	BF	days	months	0.000000	0.002490	0.422083	0.000000
exponential2	42	313836223	BF	months	seconds	0.164869	0.001496	1.000000	0.000000
exponential2	42	313836223	BF	months	minutes	0.000000	0.001499	0.999976	0.000000
exponential2	42	313836223	BF	months	hours	0.000000	0.002996	0.999333	0.000000
exponential2	42	313836223	BF	months	days	0.000000	0.002499	0.984140	0.000000
exponential2	42	313836223	BF	months	months	0.000000	0.002500	0.841378	0.000000
exponential2	42	313836223	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,4,1,1	102	313836223	BF	subsecond	seconds	0.050847	0.000000	0.514270	0.000000
rationalPower1,4,1,1	102	313836223	BF	subsecond	minutes	0.000000	0.001000	0.297334	0.000000
rationalPower1,4,1,1	102	313836223	BF	subsecond	hours	0.000000	0.000000	0.211546	0.000000
rationalPower1,4,1,1	102	313836223	BF	subsecond	days	0.000000	0.000000	0.121522	0.000000
rationalPower1,4,1,1	102	313836223	BF	subsecond	months	0.000000	0.000000	0.069265	0.000000
rationalPower1,4,1,1	102	313836223	BF	subsecond	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,1,1	102	313836223	BF	seconds	seconds	0.137030	0.000500	0.874465	0.000000
