#decay	# windows in store	# elements in stream	query	age class	length class	error:p95	latency:p95	ci-width:p95	ci-miss-rate
exponential2	43	313814094	SUM	years	seconds	0.984669	0.000000	2.000000	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	seconds	0.081277	0.000500	0.388206	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	minutes	0.008159	0.001500	0.023381	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	hours	0.001030	0.001000	0.003477	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	days	0.000108	0.000000	0.000522	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	months	0.000033	0.001000	0.000098	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	subsecond	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	seconds	0.171969	0.000500	0.695880	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	minutes	0.006865	0.000500	0.025985	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	hours	0.001052	0.000500	0.002242	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	days	0.000104	0.000500	0.000402	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	months	0.000034	0.000500	0.000098	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	minutes	seconds	0.176612	0.000500	0.864219	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	minutes	minutes	0.012211	0.000500	0.067287	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	minutes	hours	0.001013	0.000500	0.003711	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	minutes	days	0.000090	0.000500	0.000365	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	minutes	months	0.000031	0.000500	0.000098	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	hours	seconds	0.190976	0.000500	0.870416	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	hours	minutes	0.018471	0.000500	0.086604	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	hours	hours	0.002372	0.000500	0.009423	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	hours	days	0.000144	0.000500	0.000564	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	hours	months	0.000012	0.000500	0.000097	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	days	seconds	0.177695	0.000500	0.872912	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	days	minutes	0.020946	0.000500	0.092075	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	days	hours	0.004824	0.000500	0.014277	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	days	days	0.000384	0.000500	0.001298	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	days	months	0.000030	0.000500	0.000118	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	months	seconds	0.139767	0.000500	0.873762	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	months	minutes	0.022852	0.000500	0.092359	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	months	hours	0.004208	0.000500	0.014537	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	months	days	0.000449	0.000500	0.002687	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	months	months	0.000040	0.000500	0.000274	0.000000
rationalPower1,4,1,1	107	313814094	COUNT	years	seconds	0.495025	0.000000	2.000000	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	seconds	0.104287	0.000500	0.046491	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	minutes	0.012530	0.001000	0.001215	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	hours	0.001016	0.000000	0.000082	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	days	0.000123	0.000500	0.000007	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	months	0.000014	0.000000	0.000001	0.000000
rationalPower1,4,1,1	107	313814094	SUM	subsecond	years	0.000000	0.001000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	seconds	0.242145	0.000500	0.054039	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	minutes	0.008062	0.000500	0.001234	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	hours	0.001004	0.000500	0.000054	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	days	0.000105	0.000500	0.000005	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	months	0.000014	0.000500	0.000001	0.000000
rationalPower1,4,1,1	107	313814094	SUM	seconds	years	0.000000	0.000000	0.000000	0.000000
rationalPower1,4,1,1	107	313814094	SUM	minutes	seconds	0.234055	0.000500	0.066178	0.000000
rationalPower1,4,1,1	107	313814094	SUM	minutes	minutes	0.014080	0.000500	0.001767	0.000000
rationalPower1,4,1,1	107	313814094	SUM	minutes	hours	0.001148	0.000500	0.000074	0.000000
rationalPower1,4,1,1	107	313814094	SUM	minutes	days	0.000094	0.000500	0.000004	0.000000
rationalPower1,4,1,1	107	313814094	SUM	minutes	months	0.000014	0.000500	0.000001	0.000000
rationalPower1,4,1,1	107	313814094	SUM	hours	seconds	0.304311	0.000500	0.066937	0.000000
rationalPower1,4,1,1	107	313814094	SUM	hours	minutes	0.022245	0.000500	0.002233	0.000000
rationalPower1,4,1,1	107	313814094	SUM	hours	hours	0.003259	0.000500	0.000126	0.000000
rationalPower1,4,1,1	107	313814094	SUM	hours	days	0.000140	0.000500	0.000006	0.000000
rationalPower1,4,1,1	107	313814094	SUM	hours	months	0.000017	0.000500	0.000001	0.000000
rationalPower1,4,1,1	107	313814094	SUM	days	seconds	0.280963	0.000500	0.067093	0.000000
