#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:p95	ci-width:p95	ci-miss-rate
rationalPower1,4,1,1	110	329573348	BF	months	hours	0.019763	0.000500	0.994508	0.000000
rationalPower1,4,1,1	110	329573348	BF	months	days	0.000000	0.001500	0.870360	0.000000
rationalPower1,4,1,1	110	329573348	BF	months	months	0.000000	0.000500	0.356486	0.000000
rationalPower1,4,1,1	110	329573348	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,4,2,1	179	329573348	BF	subsecond	seconds	0.033898	0.001500	0.534928	0.000000
rationalPower1,4,2,1	179	329573348	BF	subsecond	minutes	0.000000	0.000500	0.277995	0.000000
rationalPower1,4,2,1	179	329573348	BF	subsecond	hours	0.000000	0.000000	0.154066	0.000000
rationalPower1,4,2,1	179	329573348	BF	subsecond	days	0.000000	0.001000	0.088865	0.000000
rationalPower1,4,2,1	179	329573348	BF	subsecond	months	0.000000	0.000000	0.059254	0.000000
rationalPower1,4,2,1	179	329573348	BF	subsecond	years	0.000000	0.002000	0.010000	0.000000
rationalPower1,4,2,1	179	329573348	BF	seconds	seconds	0.114622	0.000500	0.843409	0.000000
rationalPower1,4,2,1	179	329573348	BF	seconds	minutes	0.000000	0.000500	0.276558	0.000000
rationalPower1,4,2,1	179	329573348	BF	seconds	hours	0.000000	0.000500	0.130598	0.000000
rationalPower1,4,2,1	179	329573348	BF	seconds	days	0.000000	0.000500	0.084825	0.000000
rationalPower1,4,2,1	179	329573348	BF	seconds	months	0.000000	0.000500	0.059249	0.000000
rationalPower1,4,2,1	179	329573348	BF	seconds	years	0.000000	0.001000	0.010000	0.000000
rationalPower1,4,2,1	179	329573348	BF	minutes	seconds	0.263430	0.000500	0.993749	0.000000
rationalPower1,4,2,1	179	329573348	BF	minutes	minutes	0.003735	0.000500	0.659267	0.000000
rationalPower1,4,2,1	179	329573348	BF	minutes	hours	0.000000	0.000500	0.142591	0.000000
rationalPower1,4,2,1	179	329573348	BF	minutes	days	0.000000	0.000500	0.076376	0.000000
rationalPower1,4,2,1	179	329573348	BF	minutes	months	0.000000	0.000500	0.058699	0.000000
rationalPower1,4,2,1	179	329573348	BF	hours	seconds	0.230656	0.000500	0.999462	0.000000
rationalPower1,4,2,1	179	329573348	BF	hours	minutes	0.000737	0.000500	0.956848	0.000000
rationalPower1,4,2,1	179	329573348	BF	hours	hours	0.000000	0.000500	0.434299	0.000000
rationalPower1,4,2,1	179	329573348	BF	hours	days	0.000000	0.000500	0.083845	0.000000
rationalPower1,4,2,1	179	329573348	BF	hours	months	0.000000	0.000500	0.045929	0.000000
rationalPower1,4,2,1	179	329573348	BF	days	seconds	0.261251	0.000500	0.999961	0.000000
rationalPower1,4,2,1	179	329573348	BF	days	minutes	0.040912	0.000500	0.996682	0.000000
rationalPower1,4,2,1	179	329573348	BF	days	hours	0.001499	0.000500	0.909992	0.000000
rationalPower1,4,2,1	179	329573348	BF	days	days	0.000000	0.000500	0.299562	0.000000
rationalPower1,4,2,1	179	329573348	BF	days	months	0.000000	0.000500	0.060204	0.000000
rationalPower1,4,2,1	179	329573348	BF	months	seconds	0.391371	0.000500	0.999995	0.000000
rationalPower1,4,2,1	179	329573348	BF	months	minutes	0.095532	0.000500	0.999635	0.000000
rationalPower1,4,2,1	179	329573348	BF	months	hours	0.019763	0.000500	0.989539	0.000000
rationalPower1,4,2,1	179	329573348	BF	months	days	0.000000	0.000500	0.758334	0.000000
rationalPower1,4,2,1	179	329573348	BF	months	months	0.000000	0.000000	0.263136	0.000000
rationalPower1,4,2,1	179	329573348	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,4,4,1	306	329573348	BF	subsecond	seconds	0.033898	0.000500	0.329490	0.000000
rationalPower1,4,4,1	306	329573348	BF	subsecond	minutes	0.000000	0.000500	0.159086	0.000000
rationalPower1,4,4,1	306	329573348	BF	subsecond	hours	0.000000	0.000000	0.096005	0.000000
rationalPower1,4,4,1	306	329573348	BF	subsecond	days	0.000000	0.000500	0.059180	0.000000
rationalPower1,4,4,1	306	329573348	BF	subsecond	months	0.000000	0.001000	0.021280	0.000000
rationalPower1,4,4,1	306	329573348	BF	subsecond	years	0.000000	0.001000	0.010000	0.000000
rationalPower1,4,4,1	306	329573348	BF	seconds	seconds	0.094513	0.000500	0.780759	0.000000
rationalPower1,4,4,1	306	329573348	BF	seconds	minutes	0.000000	0.000500	0.164089	0.000000
rationalPower1,4,4,1	306	329573348	BF	seconds	hours	0.000000	0.000500	0.076823	0.000000
rationalPower1,4,4,1	306	329573348	BF	seconds	days	0.000000	0.000500	0.059287	0.000000
rationalPower1,4,4,1	306	329573348	BF	seconds	months	0.000000	0.000500	0.021279	0.000000
rationalPower1,4,4,1	306	329573348	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,4,1	306	329573348	BF	minutes	seconds	0.263430	0.000500	0.990098	0.000000
rationalPower1,4,4,1	306	329573348	BF	minutes	minutes	0.003735	0.000500	0.566277	0.000000
rationalPower1,4,4,1	306	329573348	BF	minutes	hours	0.000000	0.000500	0.099333	0.000000
rationalPower1,4,4,1	306	329573348	BF	minutes	days	0.000000	0.000500	0.056120	0.000000
rationalPower1,4,4,1	306	329573348	BF	minutes	months	0.000000	0.000500	0.021144	0.000000
rationalPower1,4,4,1	306	329573348	BF	hours	seconds	0.230656	0.000500	0.999190	0.000000
rationalPower1,4,4,1	306	329573348	BF	hours	minutes	0.000737	0.000500	0.931784	0.000000
rationalPower1,4,4,1	306	329573348	BF	hours	hours	0.000000	0.000500	0.346149	0.000000
rationalPower1,4,4,1	306	329573348	BF	hours	days	0.000000	0.000500	0.059606	0.000000
rationalPower1,4,4,1	306	329573348	BF	hours	months	0.000000	0.001500	0.032950	0.000000
rationalPower1,4,4,1	306	329573348	BF	days	seconds	0.261251	0.000500	0.999938	0.000000
rationalPower1,4,4,1	306	329573348	BF	days	minutes	0.040912	0.000500	0.995076	0.000000
rationalPower1,4,4,1	306	329573348	BF	days	hours	0.001499	0.000500	0.881088	0.000000
rationalPower1,4,4,1	306	329573348	BF	days	days	0.000000	0.000500	0.205616	0.000000
rationalPower1,4,4,1	306	329573348	BF	days	months	0.000000	0.000500	0.042587	0.000000
rationalPower1,4,4,1	306	329573348	BF	months	seconds	0.391371	0.000500	0.999991	0.000000
rationalPower1,4,4,1	306	329573348	BF	months	minutes	0.095532	0.000500	0.999316	0.000000
rationalPower1,4,4,1	306	329573348	BF	months	hours	0.019763	0.000500	0.981000	0.000000
rationalPower1,4,4,1	306	329573348	BF	months	days	0.000000	0.000500	0.630353	0.000000
rationalPower1,4,4,1	306	329573348	BF	months	months	0.000000	0.001000	0.151949	0.000000
rationalPower1,4,4,1	306	329573348	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,4,8,1	524	329573348	BF	subsecond	seconds	0.033898	0.002500	0.364030	0.000000
rationalPower1,4,8,1	524	329573348	BF	subsecond	minutes	0.000000	0.000000	0.124375	0.000000
rationalPower1,4,8,1	524	329573348	BF	subsecond	hours	0.000000	0.001500	0.073620	0.000000
rationalPower1,4,8,1	524	329573348	BF	subsecond	days	0.000000	0.000000	0.041621	0.000000
rationalPower1,4,8,1	524	329573348	BF	subsecond	months	0.000000	0.000000	0.023200	0.000000
rationalPower1,4,8,1	524	329573348	BF	subsecond	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,8,1	524	329573348	BF	seconds	seconds	0.071531	0.000500	0.643850	0.000000
rationalPower1,4,8,1	524	329573348	BF	seconds	minutes	0.000000	0.000500	0.136777	0.000000
rationalPower1,4,8,1	524	329573348	BF	seconds	hours	0.000000	0.000500	0.061890	0.000000
rationalPower1,4,8,1	524	329573348	BF	seconds	days	0.000000	0.000500	0.036186	0.000000
rationalPower1,4,8,1	524	329573348	BF	seconds	months	0.000000	0.000500	0.023199	0.000000
rationalPower1,4,8,1	524	329573348	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,8,1	524	329573348	BF	minutes	seconds	0.262856	0.000500	0.985698	0.000000
rationalPower1,4,8,1	524	329573348	BF	minutes	minutes	0.003735	0.000500	0.457196	0.000000
rationalPower1,4,8,1	524	329573348	BF	minutes	hours	0.000000	0.000500	0.072924	0.000000
rationalPower1,4,8,1	524	329573348	BF	minutes	days	0.000000	0.000500	0.040206	0.000000
rationalPower1,4,8,1	524	329573348	BF	minutes	months	0.000000	0.000500	0.023142	0.000000
rationalPower1,4,8,1	524	329573348	BF	hours	seconds	0.230656	0.000500	0.998434	0.000000
rationalPower1,4,8,1	524	329573348	BF	hours	minutes	0.000737	0.000500	0.874916	0.000000
rationalPower1,4,8,1	524	329573348	BF	hours	hours	0.000000	0.000500	0.215917	0.000000
rationalPower1,4,8,1	524	329573348	BF	hours	days	0.000000	0.000500	0.039810	0.000000
rationalPower1,4,8,1	524	329573348	BF	hours	months	0.000000	0.000500	0.023041	0.000000
rationalPower1,4,8,1	524	329573348	BF	days	seconds	0.261251	0.000500	0.999900	0.000000
rationalPower1,4,8,1	524	329573348	BF	days	minutes	0.040912	0.000500	0.991943	0.000000
rationalPower1,4,8,1	524	329573348	BF	days	hours	0.001499	0.000500	0.818347	0.000000
rationalPower1,4,8,1	524	329573348	BF	days	days	0.000000	0.000500	0.144065	0.000000
rationalPower1,4,8,1	524	329573348	BF	days	months	0.000000	0.000500	0.027545	0.000000
rationalPower1,4,8,1	524	329573348	BF	months	seconds	0.391371	0.000500	0.999985	0.000000
rationalPower1,4,8,1	524	329573348	BF	months	minutes	0.095532	0.000500	0.998798	0.000000
rationalPower1,4,8,1	524	329573348	BF	months	hours	0.019763	0.000500	0.972519	0.000000
rationalPower1,4,8,1	524	329573348	BF	months	days	0.000000	0.000500	0.533948	0.000000
rationalPower1,4,8,1	524	329573348	BF	months	months	0.000000	0.000000	0.097088	0.000000
